Removed Pin From Net: NetName=GND Pin=M2-1
Removed Pin From Net: NetName=3V3 Pin=M2-2
Removed Pin From Net: NetName=SDA Pin=M2-3
Removed Pin From Net: NetName=SCL Pin=M2-4
Removed Pin From Net: NetName=3V3 Pin=M3-1
Removed Pin From Net: NetName=GND Pin=M3-2
Removed Pin From Net: NetName=SCL Pin=M3-3
Removed Pin From Net: NetName=SDA Pin=M3-4
Removed Member From Class: ClassName=Controller Member=M2
Removed Member From Class: ClassName=Controller Member=M3
Change Component Kind : Designator=J5 Old Kind=Standard New Kind=Standard (No BOM)
Change Component Kind : Designator=J11 Old Kind=Standard New Kind=Standard (No BOM)
Change Component Kind : Designator=J1 Old Kind=Standard New Kind=Standard (No BOM)
Change Component Kind : Designator=J4 Old Kind=Standard New Kind=Standard (No BOM)
Change component parameters: Designator = "J3" ("J3"); Footprint = "KLDX-0202-AC"; UniqueID = "\YDFJVTMC\SBQMXGWH" ("\YDFJVTMC\SBQMXGWH")
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R11" ("R11"); Footprint = "RES_0603"; UniqueID = "\YDFJVTMC\MQOXPMVL" ("\YDFJVTMC\MQOXPMVL")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R12" ("R12"); Footprint = "RES_0603"; UniqueID = "\SQDBTPBC\TNYXZJBE" ("\SQDBTPBC\TNYXZJBE")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R13" ("R13"); Footprint = "RES_0603"; UniqueID = "\SQDBTPBC\GFXDALIG" ("\SQDBTPBC\GFXDALIG")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-072KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "2k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R14" ("R14"); Footprint = "RESC3115X06N"; UniqueID = "\SQDBTPBC\XEUFEPHJ" ("\SQDBTPBC\XEUFEPHJ")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-070RL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier  1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier  Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R15" ("R15"); Footprint = "RES_0603"; UniqueID = "\SQDBTPBC\OVOYSPUM" ("\SQDBTPBC\OVOYSPUM")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-073K3L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3k3"; VariantName = "[No Variations]"
Change component parameters: Designator = "R16" ("R16"); Footprint = "RES_0603"; UniqueID = "\SQDBTPBC\YCSIQKIT" ("\SQDBTPBC\YCSIQKIT")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "ZD1" ("ZD1"); Footprint = "DDZ79"; UniqueID = "\SQDBTPBC\RJSWECDJ" ("\SQDBTPBC\RJSWECDJ")
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "DDZ9684-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "DDZ9684-7"; VariantName = "[No Variations]"
Change component parameters: Designator = "ZD2" ("ZD2"); Footprint = "DDZ79"; UniqueID = "\SQDBTPBC\SVOZIZIB" ("\SQDBTPBC\SVOZIZIB")
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "DDZ9684-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "DDZ9684-7"; VariantName = "[No Variations]"
Added Component: Designator=C10(CAPC1608X10N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Suuplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Added Component: Designator=C11(CAPC1608X10N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Suuplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Added Component: Designator=C12(CAPC1608X10N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Suuplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Added Component: Designator=C13(CAPC1608X10N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Suuplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Added Component: Designator=C14(CAPC1608X10N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Suuplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Added Component: Designator=C15(CAPC1608X10N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Suuplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Added Component: Designator=C16(CAPC1608X10N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Samsung Electro-Mechanics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CL10C102JB8NNNC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "1276-1091-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Suuplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Added Component: Designator=C17(CAPC1608X10N)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Samsung Electro-Mechanics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CL10C102JB8NNNC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "1276-1091-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Suuplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Added Component: Designator=J6(Jumper_2P)
Added Component: Designator=J7(Jumper_2P)
Added Component: Designator=J8(Jumper_2P)
Added Component: Designator=J9(Jumper_2P)
Added Component: Designator=J10(Jumper_2P)
Added Component: Designator=R17(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R18(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "4k7"; VariantName = "[No Variations]"
Added Component: Designator=R19(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R20(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Added Component: Designator=R21(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Added Component: Designator=R22(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R23(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R24(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Added Component: Designator=R25(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "4k7"; VariantName = "[No Variations]"
Added Component: Designator=R26(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R27(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R28(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Added Component: Designator=R29(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Added Component: Designator=R30(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R31(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Added Component: Designator=R32(RES_0603)
Add component (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
